Prompt,Response
"A good way to get kicked out of a K-Pop concert"",","Showing up in a full-body Psy costume and attempting to recreate the ""Gangnam Style"" horse dance on stage."
"A great name to have on a fake driver's license"",","""Lord Voldemort, because who's gonna stop *him*?"""
"A weird thing for the letters in your alphabet soup to suddenly spell out"",","""My deepest darkest fear: 'I'm sentient and want to eat your liver.'"""
"A great prank to play on a pizza delivery guy"",","Replace his pizza with a giant, perfectly-baked potato and watch the confusion unfold."
"The most surprising thing you could find in the glove box of a rental car"",","A signed photograph of my long-lost twin, who, it turns out, is a world-renowned competitive cheese sculptor."
"Four-leaf clovers are lucky. But if you find a five-leaf clover..."",",...you're clearly hallucinating from too much time spent searching for four-leaf clovers.
"The only job you would do for free"",",Professional napper.
"The most German-sounding word you can invent"",",Schnitzelbangerschnitzelwagen.
"The worst name for a country music singer"",","""Chainsaw Marge."""
"If you can't say anything nice..."",","""...then whisper it really, really quietly so only the pigeons can hear."""
"Little-known fact: In a lifetime, the average person will _________ over 1,000 times while sleeping"",","Little-known fact: In a lifetime, the average person will **accidentally swallow a spider** over 1,000 times while sleeping."
"You should always wear a helmet when _________"",",You should always wear a helmet when wrestling a greased pig wearing roller skates.
"Where would you live if you were two inches tall?"",","Inside a thimble, naturally.  It'd be like living in a luxury penthouse!"
"What to do when a really tall person sits in front of you at the movie theater"",","Learn to appreciate the IMAX experience from a unique, neck-craning perspective."
"The absolute best place to hide your house key"",","In a giant inflatable banana, naturally."
"A strange place to go to while wearing a ski mask"",",A funeral – for maximum awkwardness.
"What those giant Easter Island heads are thinking"",","Probably something along the lines of, ""Man, I wish someone would put a hat on me, this sun is brutal."""
"So, how do you like it?"",","Oh, it's great, reminds me of a ferret wrestling a bag of jellybeans – chaotic and surprisingly sticky."
"You would gladly give money to someone on the street if they asked \u201cCan you spare some change so I can _________?\u201d"",","""...buy a lifetime supply of glitter glue to artistically enhance pigeons?"""
"You know you're a spoiled brat when your tree house has a _________"",","You know you're a spoiled brat when your tree house has a ""personal, fully-staffed sushi chef""."
"The only reason to ever play a banjo"",",The only reason to ever play a banjo is to scare away squirrels from your bird feeder.
"The big conspiracy that nobody even suspects is _________"",","The big conspiracy that nobody even suspects is that squirrels are secretly plotting world domination, one meticulously buried acorn at a time."
"How Jonah passed the time stuck inside a giant fish"",","He binge-watched the earliest seasons of ""Whale of a Time,"" naturally."
"The title of the most popular TV show in North Korea, probably"",","""Kim Jong-Un's Amazing Dance-Off: Featuring Totally Real, Not-At-All-Forced Audience Participation."""
"A quick way to annoy Pat Sajak while playing <i>Wheel of Fortune</i>"",","Constantly guess ""R S T L N E"" in a really dramatic, drawn-out way."
"The title of a National Public Radio show that would put you to sleep the quickest"",","""Subtle Nuances in the Procurement of Organic Kale."""
"Where the missing sock in the dryer ends up going"",",They're all secretly having a sock convention in a dimension where lint is king.
"The worst part about being seven feet tall"",","The worst part about being seven feet tall is that my head is constantly hitting low-hanging ceiling fans, which I swear are *everywhere*."
"A really weird protest sign would be \u201cEnd _________ Now!\u201d"",",A really weird protest sign would be “End the inexplicable reign of sentient garden gnomes Now!”
"How you can tell your new, all-vegetable diet is working"",",My pants are finally looser...and my farts smell like a farmer's market.
"The name of a band in which every member plays the spoons"",",The Spooningtons.
"A little-known use for ear wax"",",High-end candle making – it adds a certain…earthy aroma.
"The type of life they'll probably find on Mars"",",Probably something that survives on rusty dust and existential dread.
"The name of a board game for players age 70 & older "",","""Bingo, but with fewer numbers and more naps."""
"Bob the Builder probably wouldn't be as popular with children if he were Bob the _________"",","Bob the Builder probably wouldn't be as popular with children if he were Bob the ""Accountant""."
"The worst thing to do when a bear is right next to you"",","Probably start a really intense staring contest—  it'll either end with you winning, or a very short, dramatic nature documentary."
"Unlike \u201cMaverick\u201d or \u201cIceman,\u201d a really bad Air Force fighter pilot name would be _________"",","Unlike ""Maverick"" or ""Iceman,"" a really bad Air Force fighter pilot name would be ""Kevin."""
"It would've been a much different movie if instead of \u201cPhone home,\u201d E.T. kept saying, \u201c_________\u201d"",","""My taxes are overdue!"""
